gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
4,9,-13,669,186,-570,85,-1,997,0:48:41
2,0,-14,672,195,-570,85,-1,997,0:48:41
0,-9,-14,673,193,-574,82,-1,999,0:48:41
2,0,-13,670,192,-570,84,-2,997,0:48:41
3,2,-13,669,186,-574,85,-1,995,0:48:41
1,-4,-14,673,196,-571,83,-1,998,0:48:41
2,-3,-13,672,196,-579,83,-2,998,0:48:41
3,1,-13,669,195,-571,85,-1,996,0:48:41
2,-1,-13,664,196,-574,84,-1,997,0:48:41
2,-3,-14,667,193,-568,83,-1,997,0:48:41
2,0,-14,669,199,-565,84,-2,997,0:48:41
2,0,-13,672,195,-574,84,-1,997,0:48:41
2,-2,-13,669,196,-577,83,-1,997,0:48:41
2,-2,-13,670,195,-570,84,-1,997,0:48:41
2,2,-14,678,196,-564,84,-1,997,0:48:41
2,0,-14,672,195,-568,84,-1,997,0:48:41
2,-2,-13,672,195,-568,83,-2,997,0:48:41
2,-1,-14,664,189,-567,84,-1,997,0:48:41
2,-1,-14,670,189,-567,84,-1,997,0:48:41
2,-2,-13,670,189,-567,84,-1,997,0:48:41
2,-1,-13,669,196,-571,84,-1,997,0:48:41
2,-2,-13,666,189,-564,84,-1,997,0:48:41
2,-1,-14,664,193,-568,84,-2,997,0:48:41
2,-2,-14,673,192,-570,84,-1,997,0:48:41
2,0,-14,670,192,-559,84,-1,997,0:48:41
2,-2,-13,673,196,-576,85,-1,997,0:48:41
2,-2,-13,663,199,-577,84,-1,997,0:48:41
2,-2,-14,651,184,-568,84,-2,997,0:48:41
2,-1,-13,660,189,-568,84,-2,997,0:48:41
2,-2,-13,663,196,-576,84,-1,997,0:48:41
2,-1,-13,666,195,-577,84,-1,997,0:48:41
2,-1,-13,661,192,-564,84,-1,997,0:48:41
2,-2,-13,661,192,-564,84,-1,997,0:48:41
2,-2,-13,667,190,-567,84,-1,998,0:48:41
2,0,-14,667,187,-564,85,-2,997,0:48:41
